cell,epoch,train_loss,val_loss,best_val,val_dice,best_val_dice,lr,improved,time_s
T0N,96,0.37944,0.56034,0.55117,0.19881,0.23395,1.0000000000000004e-08,0,11.7
T0N,97,0.37943,0.56036,0.55117,0.19879,0.23395,1.0000000000000004e-08,0,11.6
T0N,98,0.37943,0.56036,0.55117,0.1988,0.23395,1.0000000000000004e-08,0,11.6
T0N,99,0.37943,0.56037,0.55117,0.19879,0.23395,1.0000000000000004e-08,0,11.6
T0N,100,0.37942,0.56038,0.55117,0.19879,0.23395,1.0000000000000004e-08,0,11.6
T0N,101,0.37942,0.56036,0.55117,0.19883,0.23395,1.0000000000000004e-08,0,11.7
T0N,102,0.37941,0.56037,0.55117,0.19881,0.23395,1.0000000000000004e-08,0,11.7
T0N,103,0.3794,0.5604,0.55117,0.1988,0.23395,1.0000000000000004e-08,0,11.7
T0N,104,0.37939,0.56042,0.55117,0.1988,0.23395,1.0000000000000004e-08,0,11.7
T0N,105,0.37939,0.56043,0.55117,0.19878,0.23395,1.0000000000000004e-08,0,11.7
T0N,106,0.37938,0.56042,0.55117,0.19879,0.23395,1.0000000000000004e-08,0,11.7
T0N,107,0.37938,0.56042,0.55117,0.19879,0.23395,1.0000000000000004e-08,0,11.7
T0N,108,0.37938,0.56043,0.55117,0.1988,0.23395,1.0000000000000004e-08,0,11.7
T0N,109,0.37939,0.56043,0.55117,0.19879,0.23395,1.0000000000000004e-08,0,11.7
T0N,110,0.37938,0.56043,0.55117,0.19878,0.23395,1.0000000000000004e-08,0,11.7
T0N,111,0.37939,0.56043,0.55117,0.19877,0.23395,1.0000000000000004e-08,0,11.7
T0N,112,0.37942,0.56044,0.55117,0.19879,0.23395,1.0000000000000004e-08,0,11.7
T0N,113,0.37941,0.56045,0.55117,0.19879,0.23395,1.0000000000000004e-08,0,11.7
T0N,114,0.37941,0.56045,0.55117,0.19878,0.23395,1.0000000000000004e-08,0,11.7
T0N,115,0.37941,0.56044,0.55117,0.19877,0.23395,1.0000000000000004e-08,0,11.6
T0N,116,0.37941,0.56042,0.55117,0.1988,0.23395,1.0000000000000004e-08,0,11.6
T0N,117,0.3794,0.56042,0.55117,0.1988,0.23395,1.0000000000000004e-08,0,11.7
T0N,118,0.3794,0.56042,0.55117,0.1988,0.23395,1.0000000000000004e-08,0,11.7
T0N,119,0.37939,0.56042,0.55117,0.1988,0.23395,1.0000000000000004e-08,0,11.6
T0N,120,0.37939,0.56043,0.55117,0.1988,0.23395,1.0000000000000004e-08,0,11.6
T0N,121,0.37939,0.56043,0.55117,0.1988,0.23395,1.0000000000000004e-08,0,11.6
T0N,122,0.37937,0.56042,0.55117,0.19882,0.23395,1.0000000000000004e-08,0,11.6
T0N,123,0.37937,0.56042,0.55117,0.19882,0.23395,1.0000000000000004e-08,0,11.7
T0N,124,0.37937,0.56042,0.55117,0.19881,0.23395,1.0000000000000004e-08,0,11.7
T0N,125,0.37937,0.56042,0.55117,0.19881,0.23395,1.0000000000000004e-08,0,11.6
T0N,126,0.37937,0.56044,0.55117,0.19879,0.23395,1.0000000000000004e-08,0,11.6
T0N,127,0.37936,0.56043,0.55117,0.1988,0.23395,1.0000000000000004e-08,0,11.6
T0N,128,0.37937,0.56043,0.55117,0.19879,0.23395,1.0000000000000004e-08,0,11.7
T0N,129,0.37936,0.56042,0.55117,0.19882,0.23395,1.0000000000000004e-08,0,11.6
T0N,130,0.37936,0.56041,0.55117,0.19882,0.23395,1.0000000000000004e-08,0,11.7
T0N,131,0.37936,0.5604,0.55117,0.19883,0.23395,1.0000000000000004e-08,0,11.7
T0N,132,0.37936,0.56041,0.55117,0.19886,0.23395,1.0000000000000004e-08,0,11.7
T0N,133,0.37934,0.56041,0.55117,0.19886,0.23395,1.0000000000000004e-08,0,11.7
T0N,134,0.37934,0.56043,0.55117,0.19886,0.23395,1.0000000000000004e-08,0,11.7
T0N,135,0.37935,0.56042,0.55117,0.19887,0.23395,1.0000000000000004e-08,0,11.7
T0N,136,0.37934,0.56043,0.55117,0.19886,0.23395,1.0000000000000004e-08,0,11.7
T0N,137,0.37934,0.56043,0.55117,0.19885,0.23395,1.0000000000000004e-08,0,11.7
T0N,138,0.37933,0.56043,0.55117,0.19884,0.23395,1.0000000000000004e-08,0,11.7
T0N,139,0.37934,0.56043,0.55117,0.19884,0.23395,1.0000000000000004e-08,0,11.7
T0N,140,0.37934,0.56041,0.55117,0.19884,0.23395,1.0000000000000004e-08,0,11.7
T0N,141,0.37934,0.56042,0.55117,0.19884,0.23395,1.0000000000000004e-08,0,11.7
T0N,142,0.37934,0.56042,0.55117,0.19884,0.23395,1.0000000000000004e-08,0,11.7
T0N,143,0.37933,0.56042,0.55117,0.19884,0.23395,1.0000000000000004e-08,0,11.6
T0N,144,0.37933,0.56042,0.55117,0.19884,0.23395,1.0000000000000004e-08,0,11.6
T0N,145,0.37932,0.56042,0.55117,0.19883,0.23395,1.0000000000000004e-08,0,11.6
T0N,146,0.37932,0.56041,0.55117,0.19883,0.23395,1.0000000000000004e-08,0,11.6
T0N,147,0.37932,0.56041,0.55117,0.19883,0.23395,1.0000000000000004e-08,0,11.7
T0N,148,0.37932,0.56042,0.55117,0.19883,0.23395,1.0000000000000004e-08,0,11.7
T0N,149,0.37932,0.56042,0.55117,0.19883,0.23395,1.0000000000000004e-08,0,11.6
T0N,150,0.3793,0.56042,0.55117,0.19883,0.23395,1.0000000000000004e-08,0,11.6
T0N,151,0.37931,0.56037,0.55117,0.19886,0.23395,1.0000000000000004e-08,0,11.6
T0N,152,0.37931,0.56036,0.55117,0.19886,0.23395,1.0000000000000004e-08,0,11.6
T0N,153,0.3793,0.56036,0.55117,0.19886,0.23395,1.0000000000000004e-08,0,11.6
T0N,154,0.37929,0.56034,0.55117,0.19887,0.23395,1.0000000000000004e-08,0,11.7
T0N,155,0.37929,0.56035,0.55117,0.19886,0.23395,1.0000000000000004e-08,0,11.6
T0N,156,0.37927,0.56035,0.55117,0.19887,0.23395,1.0000000000000004e-08,0,11.7
T0N,157,0.37926,0.56035,0.55117,0.19884,0.23395,1.0000000000000004e-08,0,11.7
T0N,158,0.37927,0.56035,0.55117,0.19884,0.23395,1.0000000000000004e-08,0,11.7
T0N,159,0.37925,0.56035,0.55117,0.19883,0.23395,1.0000000000000004e-08,0,11.7
T0N,160,0.37925,0.56035,0.55117,0.19883,0.23395,1.0000000000000004e-08,0,11.7
T0N,161,0.37924,0.56035,0.55117,0.19884,0.23395,1.0000000000000004e-08,0,11.7
T0N,162,0.37924,0.56035,0.55117,0.19884,0.23395,1.0000000000000004e-08,0,11.7
T0N,163,0.37924,0.56034,0.55117,0.19885,0.23395,1.0000000000000004e-08,0,11.7
T0N,164,0.37923,0.56034,0.55117,0.19885,0.23395,1.0000000000000004e-08,0,11.7
T0N,165,0.37923,0.56033,0.55117,0.19887,0.23395,1.0000000000000004e-08,0,11.7
T0N,166,0.37923,0.56033,0.55117,0.19886,0.23395,1.0000000000000004e-08,0,11.7
T0N,167,0.37922,0.56034,0.55117,0.19886,0.23395,1.0000000000000004e-08,0,11.7
T0N,168,0.37921,0.56033,0.55117,0.19884,0.23395,1.0000000000000004e-08,0,11.6
T0N,169,0.37922,0.56032,0.55117,0.19885,0.23395,1.0000000000000004e-08,0,11.7
T0N,170,0.37921,0.56032,0.55117,0.19885,0.23395,1.0000000000000004e-08,0,11.6
T0N,171,0.3792,0.56027,0.55117,0.19887,0.23395,1.0000000000000004e-08,0,11.6
T0N,172,0.37919,0.56028,0.55117,0.19886,0.23395,1.0000000000000004e-08,0,11.7
T0N,173,0.37919,0.56028,0.55117,0.19886,0.23395,1.0000000000000004e-08,0,11.7
T0N,174,0.37919,0.56028,0.55117,0.19887,0.23395,1.0000000000000004e-08,0,11.6
T0N,175,0.37918,0.56034,0.55117,0.19881,0.23395,1.0000000000000004e-08,0,11.7
T0N,176,0.37918,0.56033,0.55117,0.19878,0.23395,1.0000000000000004e-08,0,11.7
T0N,177,0.37918,0.56036,0.55117,0.19874,0.23395,1.0000000000000004e-08,0,11.7
T0N,178,0.37917,0.56036,0.55117,0.19874,0.23395,1.0000000000000004e-08,0,11.7
T0N,179,0.37917,0.56039,0.55117,0.1987,0.23395,1.0000000000000004e-08,0,11.7
T0N,180,0.37916,0.56039,0.55117,0.1987,0.23395,1.0000000000000004e-08,0,11.7
T0N,181,0.37916,0.56039,0.55117,0.19869,0.23395,1.0000000000000004e-08,0,11.7
T0N,182,0.37916,0.56039,0.55117,0.19869,0.23395,1.0000000000000004e-08,0,11.7
T0N,183,0.37915,0.56039,0.55117,0.19869,0.23395,1.0000000000000004e-08,0,11.7
T0N,184,0.37915,0.56038,0.55117,0.19869,0.23395,1.0000000000000004e-08,0,11.7
T0N,185,0.37915,0.56038,0.55117,0.1987,0.23395,1.0000000000000004e-08,0,11.6
T0N,186,0.37915,0.56038,0.55117,0.19869,0.23395,1.0000000000000004e-08,0,11.7
T0N,187,0.37915,0.5603,0.55117,0.19871,0.23395,1.0000000000000004e-08,0,11.7
T0N,188,0.37914,0.5603,0.55117,0.19872,0.23395,1.0000000000000004e-08,0,11.7
T0N,189,0.37913,0.5603,0.55117,0.19871,0.23395,1.0000000000000004e-08,0,11.6
T0N,190,0.37912,0.56029,0.55117,0.19873,0.23395,1.0000000000000004e-08,0,11.7
T0N,191,0.37912,0.56025,0.55117,0.19879,0.23395,1.0000000000000004e-08,0,11.7
T0N,192,0.37912,0.56025,0.55117,0.1988,0.23395,1.0000000000000004e-08,0,11.7
T0N,193,0.37913,0.56026,0.55117,0.19879,0.23395,1.0000000000000004e-08,0,11.7
T0N,194,0.37912,0.56025,0.55117,0.19881,0.23395,1.0000000000000004e-08,0,11.7
T0N,195,0.37911,0.56023,0.55117,0.19882,0.23395,1.0000000000000004e-08,0,11.7
T0N,196,0.37911,0.56023,0.55117,0.19883,0.23395,1.0000000000000004e-08,0,11.7
T0N,197,0.37912,0.56023,0.55117,0.19882,0.23395,1.0000000000000004e-08,0,11.7
T0N,198,0.37912,0.56023,0.55117,0.19882,0.23395,1.0000000000000004e-08,0,11.7
T0N,199,0.37912,0.56024,0.55117,0.19879,0.23395,1.0000000000000004e-08,0,11.7
T0N,200,0.37911,0.56025,0.55117,0.19881,0.23395,1.0000000000000004e-08,0,11.7
