cell,epoch,train_loss,val_loss,best_val,val_dice,best_val_dice,lr,improved,time_s
TB,101,1.68098,2.65919,2.47799,0.19449,0.19783,1.0000000000000004e-08,0,11.8
TB,102,1.68098,2.65924,2.47799,0.19449,0.19783,1.0000000000000004e-08,0,11.8
TB,103,1.6809,2.65911,2.47799,0.19455,0.19783,1.0000000000000004e-08,0,11.7
TB,104,1.68089,2.65911,2.47799,0.19454,0.19783,1.0000000000000004e-08,0,11.7
TB,105,1.68086,2.65919,2.47799,0.19455,0.19783,1.0000000000000004e-08,0,11.7
TB,106,1.68095,2.65961,2.47799,0.1946,0.19783,1.0000000000000004e-08,0,11.8
TB,107,1.6807,2.65971,2.47799,0.19459,0.19783,1.0000000000000004e-08,0,11.7
TB,108,1.6807,2.6597,2.47799,0.19458,0.19783,1.0000000000000004e-08,0,11.8
TB,109,1.68066,2.65976,2.47799,0.19458,0.19783,1.0000000000000004e-08,0,11.8
TB,110,1.68063,2.6599,2.47799,0.19459,0.19783,1.0000000000000004e-08,0,11.8
TB,111,1.68069,2.65983,2.47799,0.19459,0.19783,1.0000000000000004e-08,0,11.8
TB,112,1.68065,2.65992,2.47799,0.1946,0.19783,1.0000000000000004e-08,0,11.7
TB,113,1.68037,2.66026,2.47799,0.19459,0.19783,1.0000000000000004e-08,0,11.7
TB,114,1.68035,2.66017,2.47799,0.19461,0.19783,1.0000000000000004e-08,0,11.8
TB,115,1.68032,2.66014,2.47799,0.19458,0.19783,1.0000000000000004e-08,0,11.8
TB,116,1.6802,2.66027,2.47799,0.1946,0.19783,1.0000000000000004e-08,0,11.7
TB,117,1.6802,2.66027,2.47799,0.19462,0.19783,1.0000000000000004e-08,0,11.8
TB,118,1.68033,2.66038,2.47799,0.19463,0.19783,1.0000000000000004e-08,0,11.7
TB,119,1.68017,2.66006,2.47799,0.19457,0.19783,1.0000000000000004e-08,0,11.8
TB,120,1.68014,2.66006,2.47799,0.19457,0.19783,1.0000000000000004e-08,0,11.7
TB,121,1.68009,2.66007,2.47799,0.19456,0.19783,1.0000000000000004e-08,0,11.8
TB,122,1.68006,2.66009,2.47799,0.19455,0.19783,1.0000000000000004e-08,0,11.8
TB,123,1.68004,2.66014,2.47799,0.19451,0.19783,1.0000000000000004e-08,0,11.8
TB,124,1.68003,2.6603,2.47799,0.19455,0.19783,1.0000000000000004e-08,0,11.7
TB,125,1.68019,2.66039,2.47799,0.19455,0.19783,1.0000000000000004e-08,0,11.8
TB,126,1.6802,2.66041,2.47799,0.19455,0.19783,1.0000000000000004e-08,0,11.8
TB,127,1.68006,2.66043,2.47799,0.19455,0.19783,1.0000000000000004e-08,0,11.7
TB,128,1.67996,2.66055,2.47799,0.19455,0.19783,1.0000000000000004e-08,0,11.8
TB,129,1.67994,2.66059,2.47799,0.19457,0.19783,1.0000000000000004e-08,0,11.8
TB,130,1.67993,2.66064,2.47799,0.19457,0.19783,1.0000000000000004e-08,0,11.7
