cell,epoch,train_loss,val_loss,best_val,bin_val_dice,bin_val_prec,bin_val_rec,bin_val_fpr,bin_val_fnr,best_bin_dice,lr,improved,time_s
TC,65,0.27468,0.62208,0.60569,0.30102,0.44018,0.36343,0.02827,0.06426,0.33343,1.0000000000000002e-06,0,11.9
TC,66,0.274,0.62188,0.60569,0.30061,0.44061,0.36228,0.02808,0.06434,0.33343,1.0000000000000002e-06,0,11.9
TC,67,0.27343,0.62188,0.60569,0.30016,0.44134,0.36127,0.02785,0.06439,0.33343,1.0000000000000002e-06,0,11.9
TC,68,0.27293,0.62135,0.60569,0.30031,0.44173,0.36099,0.02778,0.06438,0.33343,1.0000000000000002e-06,0,11.9
TC,69,0.27252,0.62125,0.60569,0.30009,0.44226,0.36041,0.02764,0.0644,0.33343,1.0000000000000002e-06,0,11.9
TC,70,0.27206,0.62172,0.60569,0.29953,0.44201,0.35987,0.02758,0.06445,0.33343,1.0000000000000002e-07,0,11.9
TC,71,0.2716,0.62172,0.60569,0.29935,0.44235,0.35955,0.02754,0.06448,0.33343,1.0000000000000002e-07,0,11.9
TC,72,0.27156,0.62175,0.60569,0.29926,0.44245,0.35936,0.02751,0.06449,0.33343,1.0000000000000002e-07,0,11.9
TC,73,0.27153,0.62175,0.60569,0.29923,0.44247,0.35931,0.02749,0.06449,0.33343,1.0000000000000002e-07,0,11.9
TC,74,0.27148,0.62175,0.60569,0.29923,0.44245,0.35932,0.02748,0.06449,0.33343,1.0000000000000002e-07,0,11.9
TC,75,0.27144,0.6218,0.60569,0.29916,0.44267,0.35923,0.02747,0.0645,0.33343,1.0000000000000002e-07,0,11.9
TC,76,0.27139,0.62184,0.60569,0.29912,0.44265,0.35921,0.02748,0.06449,0.33343,1.0000000000000004e-08,0,11.9
TC,77,0.27135,0.62184,0.60569,0.29913,0.44264,0.35922,0.02748,0.06449,0.33343,1.0000000000000004e-08,0,11.9
TC,78,0.27135,0.62185,0.60569,0.29911,0.44288,0.3592,0.02748,0.06449,0.33343,1.0000000000000004e-08,0,11.9
TC,79,0.27134,0.62185,0.60569,0.29912,0.44289,0.3592,0.02748,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,80,0.27134,0.62188,0.60569,0.29908,0.44285,0.35921,0.02749,0.06449,0.33343,1.0000000000000004e-08,0,11.9
TC,81,0.27133,0.62198,0.60569,0.29908,0.44284,0.35921,0.02751,0.06449,0.33343,1.0000000000000004e-08,0,11.9
TC,82,0.27133,0.62198,0.60569,0.29907,0.44284,0.3592,0.02751,0.06449,0.33343,1.0000000000000004e-08,0,11.9
TC,83,0.27132,0.62198,0.60569,0.29907,0.44284,0.35919,0.0275,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,84,0.2713,0.62203,0.60569,0.29902,0.44277,0.35921,0.02751,0.06449,0.33343,1.0000000000000004e-08,0,11.9
TC,85,0.2713,0.62207,0.60569,0.29895,0.44265,0.35921,0.02752,0.06449,0.33343,1.0000000000000004e-08,0,11.9
TC,86,0.27129,0.62207,0.60569,0.29893,0.44264,0.35916,0.02752,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,87,0.27128,0.62207,0.60569,0.29894,0.44266,0.35916,0.02752,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,88,0.27128,0.62208,0.60569,0.29892,0.44265,0.35914,0.02752,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,89,0.27128,0.62209,0.60569,0.29893,0.44269,0.35913,0.02752,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,90,0.27127,0.62209,0.60569,0.29891,0.4427,0.35907,0.02751,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,91,0.27126,0.6221,0.60569,0.2989,0.44271,0.35901,0.02751,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,92,0.27126,0.6221,0.60569,0.29888,0.4427,0.35898,0.02751,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,93,0.27126,0.6221,0.60569,0.29887,0.44269,0.35898,0.02751,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,94,0.27125,0.6221,0.60569,0.29888,0.44269,0.35897,0.02752,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,95,0.27125,0.6221,0.60569,0.29887,0.44269,0.35896,0.02751,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,96,0.27125,0.62209,0.60569,0.29891,0.44272,0.35899,0.02751,0.06451,0.33343,1.0000000000000004e-08,0,11.8
TC,97,0.27124,0.6221,0.60569,0.29891,0.44272,0.35899,0.02752,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,98,0.27124,0.62209,0.60569,0.29891,0.4427,0.35901,0.02752,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,99,0.27123,0.62209,0.60569,0.29892,0.4427,0.35902,0.02752,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,100,0.27123,0.62209,0.60569,0.2989,0.44272,0.359,0.02752,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,101,0.27123,0.62209,0.60569,0.29891,0.44273,0.35899,0.02751,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,102,0.27122,0.62209,0.60569,0.2989,0.44273,0.35898,0.02751,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,103,0.27122,0.62209,0.60569,0.2989,0.44275,0.35897,0.02751,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,104,0.27122,0.62209,0.60569,0.29889,0.44273,0.35897,0.02751,0.0645,0.33343,1.0000000000000004e-08,0,11.8
TC,105,0.27122,0.62209,0.60569,0.29888,0.4427,0.35898,0.02752,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,106,0.27121,0.6221,0.60569,0.29888,0.4427,0.35899,0.02751,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,107,0.2712,0.6221,0.60569,0.29891,0.44272,0.35901,0.02751,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,108,0.2712,0.62209,0.60569,0.29891,0.44274,0.359,0.02751,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,109,0.27119,0.62211,0.60569,0.29888,0.44276,0.35893,0.02751,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,110,0.27119,0.62212,0.60569,0.29888,0.44303,0.35892,0.02751,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,111,0.27118,0.62212,0.60569,0.29888,0.44304,0.35893,0.02751,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,112,0.27117,0.62209,0.60569,0.29888,0.44303,0.35894,0.02749,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,113,0.27118,0.62209,0.60569,0.29889,0.44305,0.35894,0.02749,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,114,0.27117,0.62209,0.60569,0.29889,0.4431,0.35893,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,115,0.27117,0.6221,0.60569,0.29888,0.4431,0.35891,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,116,0.27117,0.62209,0.60569,0.2989,0.44311,0.35892,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,117,0.27116,0.62212,0.60569,0.29889,0.4431,0.35891,0.0275,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,118,0.27115,0.62209,0.60569,0.29891,0.44307,0.35893,0.0275,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,119,0.27115,0.6221,0.60569,0.29892,0.44308,0.35893,0.02751,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,120,0.27115,0.62211,0.60569,0.29891,0.44306,0.35893,0.02751,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,121,0.27115,0.62212,0.60569,0.2989,0.44305,0.35893,0.02751,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,122,0.27114,0.62211,0.60569,0.2989,0.44303,0.35893,0.02751,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,123,0.27114,0.62211,0.60569,0.29891,0.44306,0.35892,0.0275,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,124,0.27114,0.62211,0.60569,0.2989,0.44307,0.35889,0.0275,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,125,0.27111,0.6221,0.60569,0.2989,0.44311,0.35885,0.02749,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,126,0.2711,0.62209,0.60569,0.2989,0.44311,0.35885,0.02749,0.0645,0.33343,1.0000000000000004e-08,0,11.8
TC,127,0.2711,0.62209,0.60569,0.2989,0.44311,0.35886,0.02749,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,128,0.27109,0.6221,0.60569,0.29891,0.44309,0.3589,0.0275,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,129,0.27109,0.62211,0.60569,0.29889,0.44306,0.35888,0.0275,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,130,0.27109,0.6221,0.60569,0.29889,0.44309,0.35886,0.0275,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,131,0.27108,0.6221,0.60569,0.29889,0.4431,0.35883,0.02749,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,132,0.27107,0.6221,0.60569,0.29887,0.4434,0.35881,0.02749,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,133,0.27106,0.6221,0.60569,0.29887,0.44341,0.35881,0.02749,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,134,0.27106,0.62211,0.60569,0.29887,0.44341,0.35881,0.02749,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,135,0.27105,0.62211,0.60569,0.29888,0.44341,0.3588,0.02749,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,136,0.27105,0.6221,0.60569,0.29888,0.44343,0.35881,0.02749,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,137,0.27104,0.62213,0.60569,0.29884,0.4434,0.35879,0.02749,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,138,0.27103,0.62213,0.60569,0.29886,0.44342,0.35881,0.02749,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,139,0.27104,0.62213,0.60569,0.29888,0.44349,0.35878,0.02748,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,140,0.27104,0.62214,0.60569,0.29888,0.44349,0.35876,0.02748,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,141,0.27103,0.62214,0.60569,0.29889,0.4435,0.35875,0.02747,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,142,0.27103,0.62214,0.60569,0.2989,0.44351,0.35876,0.02747,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,143,0.27103,0.62216,0.60569,0.29887,0.4435,0.35873,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,144,0.27102,0.62215,0.60569,0.29889,0.4435,0.35874,0.02747,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,145,0.27101,0.62214,0.60569,0.29888,0.44349,0.35875,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,146,0.271,0.62215,0.60569,0.29888,0.44348,0.35876,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,147,0.27101,0.62216,0.60569,0.29885,0.44347,0.35875,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,148,0.27099,0.62216,0.60569,0.29885,0.44348,0.35873,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,149,0.27098,0.62216,0.60569,0.29885,0.44348,0.35874,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,150,0.27097,0.62217,0.60569,0.29886,0.44348,0.35876,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,151,0.27097,0.62217,0.60569,0.29888,0.4435,0.35877,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,152,0.27098,0.62217,0.60569,0.29889,0.44351,0.35878,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,153,0.27097,0.62218,0.60569,0.29885,0.44348,0.35869,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,154,0.27096,0.62218,0.60569,0.29884,0.44349,0.35867,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,155,0.27095,0.62217,0.60569,0.29885,0.4435,0.35868,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,156,0.27095,0.62216,0.60569,0.29887,0.44352,0.35869,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,157,0.27094,0.62216,0.60569,0.2989,0.44354,0.35872,0.02748,0.0645,0.33343,1.0000000000000004e-08,0,11.9
TC,158,0.27094,0.62216,0.60569,0.29886,0.44351,0.35867,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,159,0.27094,0.62217,0.60569,0.29886,0.44351,0.35867,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
TC,160,0.27093,0.62216,0.60569,0.29883,0.44351,0.35865,0.02748,0.06451,0.33343,1.0000000000000004e-08,0,11.9
