cell,epoch,train_loss,val_loss,best_val,bin_val_dice,bin_val_prec,bin_val_rec,bin_val_fpr,bin_val_fnr,best_bin_dice,lr,improved,time_s
TD,86,0.34499,0.64679,0.64441,0.30472,0.41387,0.38494,0.0329,0.06715,0.35119,1.0000000000000004e-08,0,11.9
TD,87,0.34498,0.64704,0.64441,0.30416,0.41386,0.38432,0.03289,0.06718,0.35119,1.0000000000000004e-08,0,11.9
TD,88,0.34498,0.64705,0.64441,0.30416,0.4139,0.38431,0.03289,0.06718,0.35119,1.0000000000000004e-08,0,11.8
TD,89,0.34497,0.64706,0.64441,0.30414,0.41387,0.3843,0.0329,0.06718,0.35119,1.0000000000000004e-08,0,11.9
TD,90,0.34497,0.64705,0.64441,0.30415,0.41386,0.38434,0.03291,0.06718,0.35119,1.0000000000000004e-08,0,11.9
TD,91,0.34497,0.64705,0.64441,0.304,0.41378,0.38426,0.03292,0.06717,0.35119,1.0000000000000004e-08,0,11.8
TD,92,0.34497,0.64706,0.64441,0.30391,0.41376,0.38417,0.03292,0.06718,0.35119,1.0000000000000004e-08,0,11.9
TD,93,0.34497,0.6471,0.64441,0.30391,0.41376,0.38416,0.03293,0.06718,0.35119,1.0000000000000004e-08,0,11.9
TD,94,0.34497,0.64709,0.64441,0.30392,0.41377,0.38417,0.03293,0.06718,0.35119,1.0000000000000004e-08,0,11.9
TD,95,0.34496,0.64778,0.64441,0.30328,0.41366,0.38383,0.03293,0.06721,0.35119,1.0000000000000004e-08,0,11.9
TD,96,0.34496,0.64777,0.64441,0.30324,0.41372,0.38379,0.03293,0.06721,0.35119,1.0000000000000004e-08,0,11.9
TD,97,0.34496,0.64777,0.64441,0.30325,0.41373,0.38378,0.03293,0.06721,0.35119,1.0000000000000004e-08,0,11.9
TD,98,0.34496,0.64777,0.64441,0.30324,0.41372,0.38376,0.03293,0.06721,0.35119,1.0000000000000004e-08,0,11.9
TD,99,0.34496,0.64778,0.64441,0.30313,0.41361,0.38365,0.03293,0.06721,0.35119,1.0000000000000004e-08,0,11.9
TD,100,0.34496,0.64775,0.64441,0.30324,0.41366,0.38375,0.03293,0.06721,0.35119,1.0000000000000004e-08,0,11.9
TD,101,0.34496,0.64776,0.64441,0.30332,0.41365,0.38383,0.03296,0.06721,0.35119,1.0000000000000004e-08,0,11.9
TD,102,0.34496,0.64775,0.64441,0.30334,0.41359,0.38392,0.03298,0.0672,0.35119,1.0000000000000004e-08,0,11.9
TD,103,0.34496,0.64775,0.64441,0.30332,0.41359,0.38388,0.03298,0.0672,0.35119,1.0000000000000004e-08,0,11.8
TD,104,0.34496,0.64776,0.64441,0.30326,0.41365,0.38378,0.03296,0.06721,0.35119,1.0000000000000004e-08,0,11.8
